区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
湖北·武汉·武昌区,黄鹤楼,898602836,文化古迹,5A景区,热度 1.0,湖北省武汉市武昌区蛇山,孤帆远影碧空尽，唯见长江天际流,"114.309047,30.550272"
湖南·张家界·武陵源区,张家界国家森林公园,852581432,文化古迹,5A景区,热度 0.9400000000000001,湖南省张家界市武陵源区,三千奇峰，八百秀水,"110.459244,29.336908"
陕西·西安·临潼区,华清宫,2005661316,文化古迹,5A景区,热度 0.9,陕西省西安市临潼区华清路038号,览盛唐宫阙，登骊山怀古，赏长恨歌舞,"109.218903,34.369881"
广东·广州·番禺,岭南印象园,3633837019,文化古迹,4A景区,热度 0.74,广东省广州市番禺区外环西路,岭南印象园江面上龙船竞渡，水中好戏不断,"113.411898,23.041453"
四川·成都·都江堰市,青城山,2833668773,文化古迹,5A景区,热度 0.96,四川省成都市都江堰市青城山路,青城山下白素贞，洞中千年修此身,"103.578829,30.903727"
北京·北京·怀柔区,慕田峪长城,1987315843,文化古迹,5A景区,热度 0.7,北京市怀柔区慕田峪村,电影《非诚勿扰》取景地,"116.57035,40.437612"
江苏·南京·玄武区,南京总统府,243830915,文化古迹,4A景区,热度 0.8,江苏省南京市玄武区长江路292号,了解中国近代史，切记勿忘国耻,"118.803688,32.049877"
四川·乐山·峨眉山市,峨眉山,69638736,文化古迹,5A景区,热度 1.0,四川省乐山峨眉山市峨眉山风景名胜区,云上金顶，天下峨眉,"103.342036,29.522835"
浙江·杭州·西湖,六和塔,1540088511,文化古迹,,热度 0.74,浙江省杭州市西湖区之江路84号,既可欣赏古塔的雄姿，又能领略钱塘江的风光,"120.138137,30.202771"
北京·北京·西城区,恭王府,3070792170,文化古迹,5A景区,热度 0.74,北京市西城区什刹海前海西街17号,一起去看看和珅家,"116.393097,39.942341"
四川·乐山·市中区,乐山大佛,3732199411,文化古迹,5A景区,热度 0.82,四川省乐山市市中区凌云路2435号簏子街,摩崖石刻造像,"103.779093,29.550402"
北京·北京·海淀区,圆明园,1427399043,文化古迹,4A景区,热度 0.76,北京市海淀区清华西路28号,追忆昔日万园之园,"116.314607,40.01629"
福建·漳州·南靖县,南靖土楼群,760039225,文化古迹,,热度 0.0,福建省漳州市南靖县书洋镇(旧圩)田螺坑,美不胜收的土楼王国,"117.293053,24.668803"
江苏·南京·钟山风景区,美龄宫,312585100,文化古迹,,热度 0.0,江苏省南京市玄武区钟山中山陵景区内,一幢中国宫殿式大屋顶建筑，富丽堂皇,"118.85242916555,32.052003575182"
北京·北京·朝阳区,奥林匹克塔,3745554438,文化古迹,,热度 0.0,北京市朝阳区北五环仰山桥西1200米,错落有致的独立塔,"116.399387,40.014739"
北京·北京·东城区,天坛公园,1053903287,文化古迹,5A景区,热度 0.8,北京市东城区天坛内东里7号,探寻古代皇帝祭天仪式的奥秘,"116.417313,39.887976"
山东·烟台·蓬莱市,蓬莱阁,3062441807,文化古迹,5A景区,热度 1.0,山东省烟台蓬莱市迎宾路7号,道教传说中著名的神仙住所和人间仙境,"120.760473,37.832144"
福建·南平·武夷山市,武夷山,4137698306,文化古迹,5A景区,热度 1.0,福建省南平市武夷山国家旅游度假区,满园秋色尽在武夷风光,"117.992764,27.631146"
北京·北京·密云县,古北水镇,1433128305,文化古迹,,热度 0.0,北京市密云县古北口镇司马台村古北水镇,走进那个画中的小镇,"117.267356,40.650895"
贵州·黔东南·雷山县,西江千户苗寨,3561022923,文化古迹,4A景区,热度 1.0,贵州省凯里市黔东南苗族侗族自治州雷山县西江镇南贵村,游览千户苗寨，感受苗族风情,"108.18029,26.500009"
西藏·拉萨·城关区,布达拉宫,2306731853,文化古迹,5A景区,热度 1.0,西藏自治区拉萨市城关区北京中路35号,朝圣者的天堂,"91.125491,29.660076"
江苏·无锡·滨湖区,灵山小镇拈花湾,521189061,文化古迹,,热度 0.0,江苏省无锡市滨湖区马山环山西路,东方禅意度假胜地，世界佛教论坛永久会址,"120.079209,31.419262"
江苏·无锡·灵山胜境,灵山大佛,1359778064,文化古迹,5A景区,热度 1.0,江苏省无锡市滨湖区灵山路1号,观释迦牟尼佛青铜立像，赏佛教胜景,"120.102895,31.436399"
江苏·苏州·金阊区,虎丘,1798026130,文化古迹,5A景区,热度 0.8,江苏省苏州市金阊区山塘街虎丘山门内8号,苏东坡说到苏州不游虎丘乃憾事也,"120.587069,31.341637"
北京·北京·昌平区,明十三陵,2269763832,文化古迹,5A景区,热度 0.72,北京市昌平区十三陵特区,气势磅礴的陵寝建筑群,"116.234094,40.300017"
江西·南昌·东湖区,滕王阁,2301240201,文化古迹,5A景区,热度 1.0,江西省南昌市东湖区仿古街58号,落霞与孤鹜齐飞，秋水共长天一色,"115.888564,28.686101"
山西·晋中·平遥县,平遥古城,3289429100,文化古迹,5A景区,热度 1.0,山西省晋中市平遥县,游览原汁原味古城，感受浓郁的晋商文化气息,"112.190081,37.21041"
江西·鹰潭,龙虎山,3661090256,文化古迹,5A景区,热度 0.7,江西省鹰潭市西南20公里处贵溪市境内,神秘的古越族文明，体验绝美的自然风光,"116.999461,28.090447"
浙江·杭州,灵隐寺,1064944660,文化古迹,,热度 0.0,浙江省杭州市法云弄1号,江南禅宗“五山”之一,"120.106626,30.241491"
陕西·西安·新城区,大明宫国家遗址公园,2972581121,文化古迹,4A景区,热度 0.72,陕西省西安市新城区自强东路585号大明宫国家遗址公园丹凤门,唐代长安城禁苑,"108.968257,34.309657"
山东·威海·环翠区,刘公岛,584168263,文化古迹,5A景区,热度 1.0,山东省威海市海滨北路101-2号,北洋水师的诞生地，甲午战争的古战场,"122.147601,37.499885"
青海·西宁·湟中县,塔尔寺,4185114321,文化古迹,5A景区,热度 1.0,青海省西宁市湟中县鲁沙尔镇,"佛光里的塔尔寺,梦中的青海湖","101.576298,36.494459"
江西·上饶·婺源县,婺源篁岭,2871359243,文化古迹,4A景区,热度 0.0,江西省上饶市婺源县江湾镇篁岭村,自游行的绝佳选择,"118.127595,29.339174"
河南·郑州·嵩山,少林寺,2621763528,文化古迹,5A景区,热度 0.86,河南省郑州登封市西北13公里嵩山南麓,登顶中岳嵩山，一览天下胜景，领略禅宗教法,"112.948713,34.512389"
四川·成都·青羊区,成都杜甫草堂,956898870,文化古迹,4A景区,热度 0.86,四川省成都市青羊区青华路37号,成都地标签到处,"104.036061,30.666089"
浙江·嘉兴·乌镇,乌镇西栅,4085764381,文化古迹,,热度 0.0,浙江省嘉兴市桐乡市乌镇西大街,水乡风貌原汁原味，文化底蕴千年积淀,"120.493068,30.755595"
江苏·苏州·吴江区,同里古镇,3696794349,文化古迹,5A景区,热度 0.8,江苏省苏州市吴江市同里镇,世界同里，东方小威尼斯,"120.725441,31.163773"
河南·开封·龙亭区,大相国寺,1634703425,文化古迹,4A景区,热度 0.9199999999999999,河南省开封市龙亭区自由西段36号,我国古代著名的佛教中心之一,"114.360997,34.79778"
陕西·延安·黄陵县,黄帝陵,3266042123,文化古迹,5A景区,热度 1.0,陕西省延安市黄陵县城北的桥山颠,中华始祖黄帝轩辕氏的陵墓,"109.280487,35.587062"
江苏·南京·钟山风景区,中山陵,1514814960,文化古迹,5A景区,热度 1.0,江苏省南京市玄武区石象路7号,建筑名家之杰作，有着极高的艺术价值,"118.860335,32.063934"
江苏·苏州·昆山市,周庄,2834497097,文化古迹,5A景区,热度 0.9,江苏省苏州市昆山周庄全福路43号,古香古色，品美食寻才子觅佳人,"120.854425,31.120241"
甘肃·嘉峪关·嘉峪关市,嘉峪关,1464040542,文化古迹,5A景区,热度 0.8400000000000001,甘肃省嘉峪关市明万里长城最西端,嘉峪关——万里长城西端的主宰,"98.22983,39.813112"
河北·秦皇岛·山海关区,天下第一关（山海关）,1266648198,文化古迹,,热度 0.74,河北省秦皇岛市山海关区东头条胡同,中国古长城之精华，与嘉峪关遥相呼应,"119.768109,40.012102"
云南·西双版纳·景洪市,景洪曼听公园,3601401562,文化古迹,4A景区,热度 0.86,云南省西双版纳傣族自治州景洪市曼听路35号,古老的傣王御花园,"100.814267,21.998503"
广西·贺州·昭平县,黄姚古镇,3457869885,文化古迹,4A景区,热度 1.0,广西壮族自治区贺州市昭平县,诗境家园，电影《面纱》拍摄地,"111.209664,24.254288"
四川·阿坝藏族羌族自治州·九寨沟县,九寨沟,2681214020,文化古迹,5A景区,热度 1.0,四川省阿坝藏族羌族自治州九寨沟县漳扎镇九寨沟,传说中的童话天堂，你还在犹豫么,"103.928015,33.271447"
广西·桂林·象山区,象山景区,2898718562,文化古迹,5A景区,热度 0.7,广西壮族自治区桂林市民主路52号,桂林城徽，绝美赏月地领略三月争辉奇景,"110.302339,25.274549"
安徽·池州·青阳县,九华山,489004853,文化古迹,5A景区,热度 1.0,安徽省池州市九华山镇二一九省道,神奇灵秀地，大愿九华山,"117.810454,30.488263"
浙江·嘉兴·桐乡市,乌镇,3413962493,文化古迹,5A景区,热度 1.0,浙江省嘉兴市桐乡市乌镇石佛南路18号,鱼米之乡，丝绸之府,"120.494465,30.754749"
江苏·南京·秦淮区,大报恩寺遗址公园,528078619,文化古迹,,热度 0.0,江苏省南京市秦淮区雨花路正学路1号,长干里是江南佛教圣地素有“佛陀里”之美,"118.787634,32.015811"
北京·北京·石景山区,八大处公园,3063258403,文化古迹,4A景区,热度 0.72,北京市石景山区八达处路3号,有八座古寺而得名，香山外另一爬山绝佳地,"116.190163,39.967956"
甘肃·酒泉·敦煌市,敦煌莫高窟,2267073005,文化古迹,,热度 0.9,甘肃省酒泉市敦煌市东南25公里,世界文化遗产，人类艺术的殿堂,"94.77389,40.167452"
河南·洛阳·洛龙区,龙门石窟,2713529684,文化古迹,5A景区,热度 1.0,河南省洛阳市洛龙区龙门中街13号,世界文化遗产 中国石刻艺术宝库,"112.479566,34.564212"
北京·北京·明十三陵,定陵,3317086974,文化古迹,,热度 0.72,北京市昌平区十三陵特区明十三陵,明十三陵中被开发的地下宫殿,"116.233071,40.30027"
山西·晋中·灵石县,山西王家大院,2084299625,文化古迹,4A景区,热度 0.82,山西省晋中市灵石县静升镇静升村,汉族传统民俗文化建筑艺术的瑰宝,"111.881551,36.902417"
广西·桂林·秀峰区,桂林两江四湖景区,858225756,文化古迹,5A景区,热度 0.7,广西壮族自治区桂林市秀峰区滨江路12号,重现唐宋时尚的环游桂林线路，轻悠旅程时光,"110.298547,25.257801"
陕西·西安·碑林区,西安钟楼,4231428640,文化古迹,,热度 0.7,陕西省西安市碑林区东、南、西、北四条大街交汇处,古朴大气的建筑风格，夜景尤其美,"108.95344,34.265657"
河北·秦皇岛·山海关区,山海关老龙头景区,460651635,文化古迹,,热度 0.76,河北省秦皇岛市山海关区龙海大道1号,人类历史上的千古奇观,"119.805028,39.975207"
浙江·杭州·西湖,印象西湖,1574035246,文化古迹,,热度 0.0,浙江省杭州市西湖区北山路82号岳庙对面,城市内涵和山水浓缩成高水准的艺术盛宴,"120.140928,30.257879"
江西·九江·庐山区,庐山风景名胜区,2295597022,文化古迹,5A景区,热度 1.0,江西省九江市庐山区,匡庐奇秀甲天下,"116.001261,29.561078"
湖北·十堰·丹江口市,武当山,1550364917,文化古迹,5A景区,热度 1.0,湖北省十堰市丹江口市武当山景区,一座历史悠久的仙山，武当拳的发源地,"111.102943,32.511746"
北京·北京·西城区,什刹海,2532223338,文化古迹,4A景区,热度 0.78,北京市西城区羊房胡同,老北京的温柔乡，北京签到地,"116.390595,39.949373"
福建·龙岩·永定土楼群（福建客家土楼）,福建土楼王（高北土楼）,2096568872,文化古迹,5A景区,热度 0.0,福建省龙岩市永定县高头乡高北村,一步之遥，览土楼风采,"117.011006,24.668343"
山西·忻州·五台县,五台山,2869401961,文化古迹,5A景区,热度 1.0,山西省忻州市五台县台怀镇,兼有汉地和藏传佛教的佛教道场,"113.596375,38.984397"
浙江·湖州·南浔区,南浔古镇,326929749,文化古迹,5A景区,热度 0.0,浙江省湖州市南浔区南浔镇人瑞路51号,水乡古镇九十九，不如南浔走一走,"120.435533,30.875529"
山东·济南·历下区,千佛山,3840604594,文化古迹,4A景区,热度 0.86,山东省济南市历下区经十一路18号,遥望齐州九点烟，一泓海水杯中泻,"117.041792,36.644733"
内蒙古·呼和浩特·玉泉区,大召寺,3435134605,文化古迹,3A景区,热度 0.9,内蒙古呼和浩特市玉泉区大召前街大召寺,霸气侧漏皇上住过地方果然不一样,"111.660429,40.80594"
云南·大理·大理古城,崇圣寺三塔,3067239679,文化古迹,5A景区,热度 0.86,云南省大理市大理古城西北两公里的苍山应乐峰下,大理的标志和象征，来大理不可错过的地方哦,"100.149535,25.710163"
浙江·嘉兴·海宁市,盐官观潮景区,3911355788,文化古迹,4A景区,热度 0.0,浙江省嘉兴海宁市盐官镇春熙路131号,天下奇观海宁潮的绝佳观赏地,"120.553255,30.40823"
福建·厦门·思明区,胡里山炮台,3354922060,文化古迹,4A景区,热度 0.8400000000000001,福建省厦门市思明区曾厝垵路2号,八闽门户、天南锁钥,"118.113008,24.435089"
广东·肇庆·星湖,鼎湖山,2446117003,文化古迹,4A景区,热度 0.86,广东省肇庆市鼎湖区上山路坑口镇,风光秀丽，具有浓郁江南诗情画意,"112.561202,23.165899"
河南·开封·鼓楼区,开封府,2504999724,文化古迹,4A景区,热度 0.96,河南省开封市包公东湖北岸,开封有个包青天，铁面无私辨忠奸,"114.353429,34.796032"
江苏·苏州·常熟市,沙家浜,3969348563,文化古迹,5A景区,热度 0.72,江苏省苏州市常熟市阳澄湖畔,穿越历史的气质美,"120.807985,31.559447"
广东·韶关·浈江区,韶关丹霞山,1940685610,文化古迹,5A景区,热度 1.0,广东省韶关市浈江区丹霞山风景名胜区,丹霞地貌命名地,"113.745153,25.0304"
陕西·西安·曲江旅游度假区,大慈恩寺（大雁塔）,1105942423,文化古迹,5A景区,热度 0.72,陕西省西安市雁塔区大雁塔南广场北侧,唐僧（玄奘）藏经处，古都西安的象征,"108.970566,34.222777"
内蒙古·包头·石拐区,五当召,3231835384,文化古迹,4A景区,热度 0.78,内蒙古省包头石拐区青五线五当沟,气势雄伟，富现堂皇，有小布达拉宫之称,"110.320996,40.797434"
陕西·西安·莲湖区,回民街,3506656671,文化古迹,,热度 0.9199999999999999,陕西西安市中心,八大菜系，让您大饱口福,"108.94363,34.26187"
江苏·常州·金坛市,东方盐湖城·道天下,1217530478,文化古迹,,热度 0.0,江苏省常州市金坛区薛埠镇访仙路9号,茅山脚下的逍遥山镇,"119.347573,31.77078"
河北·承德·双桥区,避暑山庄,3558786789,文化古迹,5A景区,热度 1.0,河北省承德市双桥区丽正门大街20号,古代帝王宫苑，清代皇帝避暑处理政务地,"117.940068,41.002781"
广西·桂林·秀峰区,芦笛岩,1533968259,文化古迹,4A景区,热度 0.76,广西壮族自治区桂林市秀峰区芦笛路1号,大自然艺术之宫，接待300位国宾的溶洞,"110.279143,25.316464"
湖南·长沙·宁乡县,宁乡炭河古城,1849100349,文化古迹,,热度 0.7,湖南省长沙市宁乡县沩山脚下黄材镇,第6批全国重点文物保护单位,"112.4300143405,28.188596302231"
山西·大同·南郊区,云冈石窟,3467256297,文化古迹,5A景区,热度 1.0,山西省大同市城西约16公里的武州山南麓,石头写成的千年史卷,"113.139454,40.117323"
四川·南充·阆中市,阆中古城,1511646521,文化古迹,5A景区,热度 1.0,四川省阆中市阆水中路33号,张飞镇守的风水古城,"105.977638,31.580898"
上海·上海·黄浦区,城隍庙旅游区,2395325458,文化古迹,,热度 0.0,上海市黄浦区人民路、河南南路、上海老街、以及安仁路之间的区域,全面地领略到上海的历史文化和民俗风情,"121.499109,31.231135"
新疆·吐鲁番·吐鲁番市,火焰山景区,2264234936,文化古迹,4A景区,热度 0.8400000000000001,新疆省吐鲁番地区吐鲁番市高昌路51号,气温居高不下，真是名副其实的火焰山,"89.536075,42.951144"
湖北·恩施·恩施市,恩施土司城,906058022,文化古迹,4A景区,热度 0.8800000000000001,湖北省恩施市土司路138号,一座土家族土司文化标志性工程,"109.478573,30.307085"
浙江·嘉兴·乌镇,乌镇东栅,1847125241,文化古迹,,热度 0.0,浙江省嘉兴桐乡市乌镇子夜路18号,有水乡美景，品文化底蕴,"120.503219,30.747083"
河南·洛阳·洛龙区,关林庙,3804939514,文化古迹,4A景区,热度 0.8,河南省洛阳市洛龙区关林南路2号,“林、庙、”合祀的古代经典建筑,"112.490039,34.613008"
重庆·重庆·沙坪坝区,磁器口古镇,4154898069,文化古迹,4A景区,热度 0.8,重庆市沙坪坝区磁南街1号,古色古香，人文荟萃，风景优美,"106.458175,29.585837"
陕西·宝鸡·扶风县,法门寺,1305053654,文化古迹,5A景区,热度 1.0,陕西省宝鸡市扶风县城北10公里法门镇,释迦牟尼佛指舍利供奉圣地,"107.909964,34.430433"
辽宁·大连·旅顺口区,日俄监狱旧址,1901253010,文化古迹,4A景区,热度 0.72,辽宁省大连市旅顺口区向阳街139号,保存完好，历史内涵丰富，具有鲜明国际性,"121.271863,38.831197"
浙江·嘉兴·嘉善县,西塘古镇,3942761498,文化古迹,5A景区,热度 0.8400000000000001,浙江省嘉兴市嘉善县西塘镇,水墨西塘让你感受古镇千年的诗情画意,"120.89521,30.945875"
海南·三亚·崖州区,大小洞天,3748366838,文化古迹,5A景区,热度 0.78,海南省三亚市以西四十公里（崖城镇南山村）,具备山、海、天一色的道家文化景区,"109.186963,18.307148"
重庆·重庆·沙坪坝区,渣滓洞,1841403782,文化古迹,,热度 0.78,重庆市沙坪坝区渣滓洞凌云路歌乐山烈士陵园附近,原是重庆郊外的一个小煤窑,"106.439082,29.59244"
贵州·贵阳·花溪区,青岩古镇,1308678621,文化古迹,5A景区,热度 0.82,贵阳市花溪区交通路240号,由土城而渐成街巷纵横错综之石城,"106.695326,26.339051"
江苏·南京·秦淮区,夫子庙,2778205010,文化古迹,5A景区,热度 0.8800000000000001,江苏省南京市秦淮区龙蟠中路夫子庙,一条长江路，半部民国史,"118.795398,32.026977"
山西·大同·浑源县,悬空寺,3355415858,文化古迹,4A景区,热度 0.86,山西省大同市浑源县东南郊恒山脚下,蜃楼疑海上，鸟道没云中,"113.723762,39.667706"
吉林·长春·宽城区,伪满皇宫博物院,2889750559,文化古迹,5A景区,热度 0.9199999999999999,吉林省长春市宽城区光复北路5号,伪满洲国傀儡皇帝爱新觉罗·溥仪的宫殿,"125.355927,43.911781"
江苏·南京·钟山风景区,明孝陵,619880243,文化古迹,5A景区,热度 0.86,江苏省南京市玄武区紫金山南麓独龙阜玩珠峰下,朱元璋和马皇后合葬于此,"118.84258,32.056109"
四川·德阳·广汉市,三星堆,1965058461,文化古迹,4A景区,热度 1.0,四川省德阳广汉市西安路133号,20世纪人类的考古发现,"104.22944,31.007071"
湖南·湘西·凤凰县,凤凰古城,2809556640,文化古迹,4A景区,热度 1.0,湖南省湘西土家族苗族自治州凤凰县凤凰古城,邂逅数个人，偶遇一座城,"109.607088,27.953295"
陕西·西安·碑林区,西安城墙,2070637965,文化古迹,4A景区,热度 0.82,陕西省西安市碑林区永宁门,触摸历史遗迹，感受历史沧桑,"108.953364,34.256023"
甘肃·酒泉·敦煌市,敦煌阳关景区,839979878,文化古迹,4A景区,热度 0.74,甘肃省酒泉敦煌市阳关镇,西出阳关无故人，一座被流沙掩埋的古城,"94.060458,39.941283"
浙江·丽水·莲都区,古堰画乡,3967363403,文化古迹,,热度 0.72,浙江省丽水市莲都区大港头镇,如此美景，恍如置身水墨画中,"119.751846,28.302032"
广西·桂林·秀峰区,独秀峰王城景区,1537503131,文化古迹,5A景区,热度 0.72,广西壮族自治区桂林市秀峰区王城路1号,明代王府清朝贡院所在地，阅尽王城知桂林,"110.305678,25.289462"
湖南·张家界·武陵源区,武陵源风景名胜区,3726533679,文化古迹,,热度 1.0,湖南省张家界市武陵源区,世界自然遗产，张家界核心景区,"110.487843,29.3416"
山东·济宁·曲阜,三孔,1655456716,文化古迹,5A景区,热度 0.86,山东省曲阜市明故城,孔府、孔庙、孔林，儒家圣地,"116.996485,35.597878"
广东·清远·连南瑶族,千年瑶寨,1184826927,文化古迹,,热度 0.0,广东省清远市连南瑶族自治县三排镇南岗村,山势宏伟，古道蜿蜒，寨旁千顷梯田绵延,"112.310135,24.587098"
山东·泰安·泰山区,泰山,1363641676,文化古迹,5A景区,热度 1.0,山东省泰安市泰山区红门路54号,会当凌绝顶，一览纵山小,"117.12107,36.247343"
四川·成都·双流区,黄龙溪古镇,4184629452,文化古迹,4A景区,热度 0.7,四川省成都市双流县黄龙镇皇金路78号,十大水乡古镇之一,"103.977315,30.324457"
海南·保亭,槟榔谷黎苗文化区,3907699975,文化古迹,5A景区,热度 0.72,海南省三亚市保亭黎苗族自治县甘什岭自然保护区,一个逃逸世俗的心灵驿站,"109.677278,18.466556"
海南·海口·琼山区,五公祠,2355646272,文化古迹,3A景区,热度 0.78,海南省海口市琼山区流芳路2号,品味海南历史文化及中国书法之美,"110.367468,20.012936"
广东·肇庆·鼎湖区,紫云谷,3413327942,文化古迹,,热度 0.0,广东省肇庆市鼎湖区坑口紫云谷,吸纳山氧，弄瀑戏水，沐浴山泉，置身大自然,"112.589086,23.136987"
重庆·重庆·渝中区,湖广会馆,4257817711,文化古迹,4A景区,热度 0.72,重庆市渝中区长滨路芭蕉园1号湖广会馆,一馆缩影江南明清遗风,"106.593781,29.564524"
重庆·重庆·大足县,大足石刻,1184661441,文化古迹,5A景区,热度 0.78,重庆市大足县龙岗镇北山路7号,欣赏真正的“千手”观音,"105.716678,29.718935"
河北·石家庄·正定县,荣国府,1664758328,文化古迹,4A景区,热度 0.74,河北省石家庄市正定县兴荣路51号,走进荣国府，花开红楼梦,"114.585705,38.153502"
云南·丽江·古城区,丽江古城,1815236618,文化古迹,5A景区,热度 1.0,云南省丽江市玉龙纳西族自治县东大街1号,一座没有城墙的古城，依山傍水，风景秀丽,"100.240547,26.881159"
湖南·长沙·天心区,杜甫江阁,263597565,文化古迹,,热度 0.0,湖南省长沙市湘江中路二段108号,江阁登临，可近观橘洲风景，远眺麓山烟云,"112.975371,28.190587"
宁夏·银川·贺兰县,贺兰山岩画,3791448389,文化古迹,4A景区,热度 0.9,宁夏回族自治区银川市贺兰县贺兰山东麓贺兰口,刻在岩石上的金戈铁马,"106.032253,38.742232"
山西·晋中·祁县,乔家大院,1203837703,文化古迹,,热度 0.9400000000000001,山西省晋中市祁县乔家堡村,一栋带有历史印记的宅院,"112.44405,37.41108"
河南·开封·龙亭区,龙亭公园,79109322,文化古迹,4A景区,热度 0.86,河南省开封市龙亭区宋都御街北街,开封揽胜必游龙亭，中外游客向往之地,"114.359797,34.814381"
山东·滨州·惠民县,魏集古村落,1479339949,文化古迹,,热度 0.0,山东省滨州市惠民县魏集镇,厚重的文化资源，丰富的民间原生态文化,"117.764764,37.303931"
福建·漳州·东山岛,东山风动石,3795654806,文化古迹,4A景区,热度 0.74,福建省漳州市东山县铜陵镇公园街关帝庙,乐享东山海滨风情,"117.541012,23.742962"
陕西·咸阳·乾县,乾陵,441556452,文化古迹,4A景区,热度 1.0,陕西省咸阳市乾县城北6公里梁山上,一代女皇圣地，千古盛唐乾陵,"108.226308,34.577233"
河北·石家庄·正定县,正定隆兴寺（大佛寺）,2280949446,文化古迹,4A景区,热度 1.0,河北省石家庄市正定县中山东路109号,全国重点文物保护单位,"114.588945,38.148799"
广东·佛山·禅城区,南风古灶旅游区,231672145,文化古迹,4A景区,热度 0.0,佛山市禅城区石湾镇高庙路6号南风古灶景区,载入世界吉尼斯记录，被誉为“活的文物”,"113.083642,23.011112"
广西·南宁·西乡塘区,龙门水都,1615698442,文化古迹,,热度 0.0,广西壮族自治区南宁市西乡塘区振兴路,现代时尚水乡,"108.265236,22.891265"
山东·临沂·沂南县,竹泉村,2934853487,文化古迹,4A景区,热度 0.0,山东省临沂市沂南县铜井镇竹泉村,竹泉美景胜江南，何必舍近去求远,"118.444301,35.653863"
宁夏·银川·灵武市,水洞沟旅游区,3773656333,文化古迹,5A景区,热度 0.82,"宁夏银川市灵武市临河镇水洞沟旅游景区（西距银川市19公里,距机场11公里）",古人类、古长城遗址地,"106.525497,38.289477"
云南·丽江·丽江古城,木府,2675547065,文化古迹,,热度 0.78,云南省丽江市古城区大研镇光义街49号,木府风云拍摄地,"100.241109,26.875004"
云南·德宏·瑞丽市,一寨两国,1675818059,文化古迹,,热度 0.0,云南省德宏瑞丽市,“一个寨子分属两个国家”的独特景观,"97.802071,23.961167"
福建·厦门·鼓浪屿,日光岩,3242393315,文化古迹,,热度 0.86,福建省厦门市思明区晃右路晃岩路56-64号,登临日光岩，看云天近在咫尺,"118.073974,24.448579"
广东·东莞·东莞市,东莞观音山旅游风景区,423322352,文化古迹,4A景区,热度 0.76,广东省东莞市樟木头镇石新区笔架山大道1号,南天圣地，百粤秘境,"114.103413,22.911516"
